"spatialunit_uid","spatialunit_current_id","spatialunit_ontology","name","name_de","name_fr","name_it","country","canton","district","municipal","residence_area","neighborhood","region","zone","spatialunit_hist_id","canton_hist_id","district_hist_id","valid_from","valid_until"
"4065_A.ADM3",4065,Municipality,Dottikon,Dottikon,Dottikon,Dottikon,false,false,false,true,false,false,false,false,12217,19,10024,1960-01-01,2999-12-31
"249_A.ADM3",249,Municipality,Unterengstringen,Unterengstringen,Unterengstringen,Unterengstringen,false,false,false,true,false,false,false,false,13697,1,10229,1990-01-01,2999-12-31
"3831_A.ADM3",3831,Municipality,Cama,Cama,Cama,Cama,false,false,false,true,false,false,false,false,16019,18,10313,2017-01-01,2999-12-31
"6155_A.ADM3",6155,Municipality,Saint-Gingolph,Saint-Gingolph,Saint-Gingolph,Saint-Gingolph,false,false,false,true,false,false,false,false,12863,23,10013,1960-01-01,2999-12-31
"2062_A.ADM3",2062,Municipality,Berlens,Berlens,Berlens,Berlens,false,false,false,true,false,false,false,false,11859,10,10106,1960-01-01,2003-12-31
"4495_A.ADM3",4495,Municipality,Hohentannen,Hohentannen,Hohentannen,Hohentannen,false,false,false,true,false,false,false,false,15466,20,10297,2011-01-01,2999-12-31
"3640_A.ADM3",3640,Municipality,Sils im Domleschg,Sils im Domleschg,Sils im Domleschg,Sils im Domleschg,false,false,false,true,false,false,false,false,15978,18,10317,2017-01-01,2999-12-31
"1145_A.ADM3",1145,Municipality,Ufhusen,Ufhusen,Ufhusen,Ufhusen,false,false,false,true,false,false,false,false,15531,3,10302,2013-01-01,2999-12-31
"5079_A.ADM3",5079,Municipality,Quinto,Quinto,Quinto,Quinto,false,false,false,true,false,false,false,false,13092,21,10005,1960-01-01,2999-12-31
"2249_A.ADM3",2249,Municipality,Corsalettes,Corsalettes,Corsalettes,Corsalettes,false,false,false,true,false,false,false,false,11631,10,10103,1960-01-01,1999-12-31
"4573_A.ADM3",4573,Municipality,Islikon,Islikon,Islikon,Islikon,false,false,false,true,false,false,false,false,12664,20,10012,1960-01-01,1997-12-31
"2582_A.ADM3",2582,Municipality,Rickenbach (SO),Rickenbach (SO),Rickenbach (SO),Rickenbach (SO),false,false,false,true,false,false,false,false,12905,11,10111,1960-01-01,2999-12-31
"2045_A.ADM3",2045,Municipality,Vallon,Vallon,Vallon,Vallon,false,false,false,true,false,false,false,false,10944,10,10107,1960-01-01,2999-12-31
"305_A.ADM2",305,District,Amt Willisau,Amt Willisau,Amt Willisau,Amt Willisau,false,false,true,false,false,false,false,false,10062,3,10062,1960-01-01,2012-12-31
"6804_A.ADM3",6804,Municipality,Saint-Ursanne,Saint-Ursanne,Saint-Ursanne,Saint-Ursanne,false,false,false,true,false,false,false,false,13351,26,10226,1979-01-01,2008-12-31
